age,occupation_status,years_employed,annual_income,credit_score,credit_history_years,savings_assets,current_debt,defaults_on_file,delinquencies_last_2yrs,derogatory_marks,product_type,loan_intent,loan_amount,interest_rate,debt_to_income_ratio,loan_to_income_ratio,payment_to_income_ratio,loan_status
31,Self-Employed,2.2,48248,675,9.3,9643,2425,1,1,0,Personal Loan,Education,2700,12.82,0.05,0.056,0.019,0
25,Employed,2.9,90952,605,2.2,3287,7378,0,1,0,Personal Loan,Business,22000,14.82,0.081,0.242,0.081,1
24,Employed,4.3,22823,654,3.6,740,11846,0,1,0,Personal Loan,Personal,37400,11.11,0.519,1.639,0.546,0
28,Employed,6.9,41363,671,8.5,166,16373,0,0,0,Personal Loan,Home Improvement,70700,11.98,0.396,1.709,0.57,1
28,Employed,7.8,44866,607,9.0,9863,6124,0,2,0,Personal Loan,Education,24300,13.87,0.136,0.542,0.181,1
18,Employed,0.0,37484,699,1.7,141,17675,0,0,0,Personal Loan,Business,40700,11.84,0.472,1.086,0.362,0
55,Employed,37.0,154598,715,14.8,10313,91346,0,0,0,Personal Loan,Education,100000,10.97,0.591,0.647,0.216,0
26,Employed,3.1,24980,585,0.8,85,10809,0,1,0,Personal Loan,Home Improvement,13000,15.53,0.433,0.52,0.173,0
49,Employed,6.9,50826,603,26.2,10860,8773,0,0,0,Personal Loan,Education,58100,13.96,0.173,1.143,0.381,1
36,Employed,14.0,41301,719,3.0,10,2916,0,0,0,Personal Loan,Home Improvement,16200,10.11,0.071,0.392,0.131,1
33,Student,1.0,36923,673,3.4,40,6558,0,0,0,Personal Loan,Medical,43100,11.44,0.178,1.167,0.389,1
24,Employed,1.1,101017,567,4.1,1026,18214,0,0,0,Personal Loan,Personal,90500,16.45,0.18,0.896,0.299,0
45,Self-Employed,4.7,154098,652,3.9,2938,15675,0,1,0,Personal Loan,Personal,100000,11.57,0.102,0.649,0.216,1
54,Self-Employed,3.5,159353,698,24.0,1029,58365,0,2,0,Personal Loan,Personal,100000,11.93,0.366,0.628,0.209,1
47,Self-Employed,21.6,111523,688,7.7,23212,31782,0,0,0,Personal Loan,Personal,100000,11.19,0.285,0.897,0.299,1
41,Employed,2.7,68842,645,9.1,777,17162,0,2,0,Personal Loan,Medical,100000,14.94,0.249,1.453,0.484,0
40,Employed,19.2,23807,570,2.4,169,9537,0,0,0,Personal Loan,Education,25900,16.64,0.401,1.088,0.363,0
18,Employed,0.0,33481,617,0.9,232,11915,0,1,0,Personal Loan,Business,47300,14.91,0.356,1.413,0.471,0
20,Employed,1.3,22823,608,1.5,1095,1878,0,2,0,Personal Loan,Home Improvement,34800,14.92,0.082,1.525,0.508,0
39,Employed,13.4,25153,710,7.7,497,11078,0,0,0,Personal Loan,Medical,31900,9.91,0.44,1.268,0.423,1
25,Employed,3.1,15000,594,2.2,435,7477,0,2,0,Personal Loan,Personal,7400,15.13,0.498,0.493,0.164,0
18,Self-Employed,1.0,55576,593,0.4,230,8999,1,4,0,Personal Loan,Personal,67400,16.63,0.162,1.213,0.404,0
30,Self-Employed,6.3,54142,621,6.4,466,14620,0,1,0,Personal Loan,Medical,5100,14.56,0.27,0.094,0.031,1
33,Employed,5.6,55430,582,12.1,73,22444,1,1,0,Personal Loan,Education,100000,16.58,0.405,1.804,0.601,0
34,Employed,6.3,23784,636,10.6,2019,826,0,1,0,Personal Loan,Home Improvement,30000,14.85,0.035,1.261,0.42,0
40,Employed,20.7,41902,766,8.2,1389,14443,0,0,0,Personal Loan,Education,59500,9.41,0.345,1.42,0.473,1
31,Employed,5.2,54315,824,1.2,910,9345,0,0,0,Personal Loan,Education,100000,8.25,0.172,1.841,0.614,1
45,Employed,26.6,20546,716,4.7,78,705,0,0,0,Personal Loan,Medical,13800,10.02,0.034,0.672,0.224,1
18,Employed,0.0,57971,556,0.2,133,7782,1,3,0,Personal Loan,Personal,100000,16.59,0.134,1.725,0.575,0
33,Employed,1.9,61583,642,11.5,2714,21711,0,0,0,Personal Loan,Education,100000,14.64,0.353,1.624,0.541,1
27,Employed,5.1,27163,575,0.8,170,12378,0,0,3,Personal Loan,Personal,47500,15.42,0.456,1.749,0.583,0
40,Employed,9.7,68867,686,15.0,142,34661,0,0,0,Personal Loan,Business,23100,12.28,0.503,0.335,0.112,0
26,Employed,5.4,74737,728,2.2,1117,23044,0,1,0,Personal Loan,Debt Consolidation,44800,10.59,0.308,0.599,0.2,1
45,Employed,7.3,43441,695,0.3,500,15196,0,0,0,Personal Loan,Personal,25000,12.97,0.35,0.575,0.192,1
30,Employed,10.3,83683,467,1.7,2179,35465,0,0,1,Personal Loan,Debt Consolidation,21200,15.78,0.424,0.253,0.084,0
18,Self-Employed,1.0,37802,530,0.3,25,17619,0,1,0,Personal Loan,Medical,34700,15.6,0.466,0.918,0.306,0
22,Self-Employed,1.0,51181,644,2.8,2785,10199,0,1,0,Personal Loan,Education,40800,13.4,0.199,0.797,0.266,1
18,Employed,0.0,28269,639,1.2,6,3834,0,0,0,Personal Loan,Education,31600,14.67,0.136,1.118,0.373,0
36,Student,0.2,15000,618,6.6,233,6993,0,0,0,Personal Loan,Medical,27900,13.67,0.466,1.86,0.62,0
27,Employed,6.6,55128,691,6.1,959,16732,1,1,0,Personal Loan,Medical,100000,12.76,0.304,1.814,0.605,0
29,Employed,0.2,25743,715,5.4,861,4321,0,0,0,Personal Loan,Medical,9100,9.56,0.168,0.353,0.118,1
21,Employed,1.4,26985,608,0.2,8,7584,0,1,0,Personal Loan,Home Improvement,33300,13.53,0.281,1.234,0.411,0
18,Employed,0.0,34303,654,0.8,246,1818,1,3,0,Personal Loan,Personal,13100,11.76,0.053,0.382,0.127,0
42,Self-Employed,7.7,74035,689,21.8,2764,19640,0,0,1,Personal Loan,Personal,18500,12.31,0.265,0.25,0.083,1
46,Employed,1.3,55437,656,21.3,1271,32998,0,1,0,Personal Loan,Medical,67900,11.0,0.595,1.225,0.408,0
41,Self-Employed,3.7,83769,712,7.5,4389,52140,0,0,0,Personal Loan,Medical,2600,10.02,0.622,0.031,0.01,0
21,Employed,2.3,37063,672,0.3,131,14575,0,0,0,Personal Loan,Education,19900,12.61,0.393,0.537,0.179,1
45,Employed,25.7,79115,695,10.4,4269,23843,0,0,0,Personal Loan,Home Improvement,26700,12.65,0.301,0.337,0.112,1
56,Employed,1.1,120704,652,1.9,1912,92673,0,0,0,Personal Loan,Personal,100000,11.03,0.768,0.828,0.276,0
30,Employed,0.9,25828,519,0.3,16,3722,0,0,0,Personal Loan,Education,11800,16.21,0.144,0.457,0.152,1
27,Employed,0.1,93729,699,2.8,29,41997,0,0,1,Personal Loan,Personal,41300,11.47,0.448,0.441,0.147,0
18,Self-Employed,1.0,36219,569,2.0,2464,13776,0,2,1,Personal Loan,Personal,8100,16.26,0.38,0.224,0.075,0
43,Student,0.5,38314,589,15.6,332,27562,0,0,0,Personal Loan,Education,74800,16.32,0.719,1.952,0.651,0
30,Employed,10.6,19271,651,9.9,22845,6820,0,1,0,Personal Loan,Business,13200,11.77,0.354,0.685,0.228,1
37,Employed,13.2,80928,604,13.3,2496,35560,0,1,0,Personal Loan,Personal,51100,14.95,0.439,0.631,0.21,1
23,Employed,3.8,15000,572,3.0,45,3575,0,1,0,Personal Loan,Debt Consolidation,21200,15.26,0.238,1.413,0.471,0
25,Employed,0.6,17861,666,1.7,92,1539,0,0,0,Personal Loan,Personal,14400,11.9,0.086,0.806,0.269,1
45,Employed,8.6,63589,679,1.8,9,6640,0,1,0,Personal Loan,Medical,40300,12.23,0.104,0.634,0.211,1
49,Employed,9.9,45157,774,6.7,1282,10643,0,1,0,Personal Loan,Business,29900,8.47,0.236,0.662,0.221,1
56,Self-Employed,27.9,29568,634,1.4,10,19844,0,1,0,Personal Loan,Business,27700,13.04,0.671,0.937,0.312,0
18,Employed,0.0,19908,591,1.6,71,5718,0,1,0,Personal Loan,Business,37800,15.13,0.287,1.899,0.633,0
26,Employed,3.8,15000,740,3.5,31,1893,0,0,0,Personal Loan,Home Improvement,29000,9.6,0.126,1.933,0.644,1
44,Self-Employed,2.7,37970,682,16.5,9276,6035,0,0,0,Personal Loan,Business,2100,11.01,0.159,0.055,0.018,1
51,Employed,14.0,62605,657,24.3,1048,20165,0,0,0,Personal Loan,Home Improvement,100000,11.34,0.322,1.597,0.532,1
23,Employed,1.3,27033,720,4.3,1606,14147,0,1,0,Personal Loan,Home Improvement,31300,9.85,0.523,1.158,0.386,0
18,Employed,0.0,15859,693,1.8,19,6491,0,0,0,Personal Loan,Home Improvement,17500,12.09,0.409,1.103,0.368,0
22,Employed,3.6,44381,626,2.6,428,5799,0,1,0,Personal Loan,Debt Consolidation,65800,13.3,0.131,1.483,0.494,0
47,Self-Employed,18.7,57916,717,27.1,1741,9990,0,0,0,Personal Loan,Personal,45800,9.86,0.172,0.791,0.264,1
19,Employed,0.1,27073,665,0.6,9,12725,0,0,0,Personal Loan,Personal,14800,12.63,0.47,0.547,0.182,1
46,Employed,17.3,61834,589,23.2,3390,5751,0,0,1,Personal Loan,Home Improvement,53800,16.57,0.093,0.87,0.29,0
40,Student,1.1,15000,685,10.2,2144,5079,0,0,0,Personal Loan,Personal,13500,12.02,0.339,0.9,0.3,1
37,Employed,5.7,49540,663,12.8,883,5891,0,0,0,Personal Loan,Personal,62100,12.51,0.119,1.254,0.418,1
42,Employed,3.1,33166,580,19.1,15188,2990,0,0,0,Personal Loan,Education,59400,15.27,0.09,1.791,0.597,0
49,Employed,6.8,61182,691,12.0,1251,48945,0,0,0,Personal Loan,Medical,45500,12.59,0.8,0.744,0.248,0
35,Employed,15.7,27590,585,15.4,3661,2761,0,1,0,Personal Loan,Personal,42700,15.35,0.1,1.548,0.516,0
51,Self-Employed,26.0,58881,661,11.9,618,10116,0,0,0,Personal Loan,Personal,9200,11.8,0.172,0.156,0.052,1
18,Employed,0.0,21024,638,0.7,8,7683,0,0,0,Personal Loan,Education,9300,13.6,0.365,0.442,0.147,1
32,Employed,1.4,53075,646,11.0,657,35699,0,0,0,Personal Loan,Personal,89300,14.86,0.673,1.683,0.561,0
50,Employed,2.8,41132,590,4.8,343,26590,1,0,2,Personal Loan,Home Improvement,78100,16.63,0.646,1.899,0.633,0
20,Self-Employed,1.0,31078,583,1.7,419,13758,0,1,1,Personal Loan,Debt Consolidation,11700,15.68,0.443,0.376,0.125,0
22,Employed,2.5,34289,580,2.5,1984,7762,0,0,0,Personal Loan,Education,59400,15.8,0.226,1.732,0.577,0
23,Employed,3.7,48900,633,0.6,78,35745,0,0,0,Personal Loan,Personal,85000,14.59,0.731,1.738,0.579,0
48,Employed,8.2,37626,724,14.3,5104,13595,0,0,1,Personal Loan,Medical,73200,11.35,0.361,1.945,0.648,1
23,Employed,3.0,26742,634,4.6,118,17507,0,1,0,Personal Loan,Education,25600,13.46,0.655,0.957,0.319,0
37,Employed,15.3,24452,691,10.0,1540,17245,0,0,0,Personal Loan,Debt Consolidation,3600,11.36,0.705,0.147,0.049,0
48,Employed,4.8,52317,625,26.5,2856,15154,0,1,0,Personal Loan,Education,31200,14.12,0.29,0.596,0.199,1
41,Self-Employed,1.4,26002,695,19.0,348,7423,0,0,0,Personal Loan,Business,10500,11.9,0.285,0.404,0.135,1
56,Employed,19.6,107757,713,16.5,5060,34244,0,0,0,Personal Loan,Medical,55200,9.95,0.318,0.512,0.171,1
20,Self-Employed,1.0,111873,594,0.6,2,6294,0,2,2,Personal Loan,Education,89900,15.07,0.056,0.804,0.268,0
40,Employed,14.4,46861,615,9.9,3043,13332,0,0,0,Personal Loan,Education,38400,14.56,0.285,0.819,0.273,1
22,Employed,1.4,25192,604,3.6,179,9470,0,0,0,Personal Loan,Personal,12200,14.25,0.376,0.484,0.161,1
39,Student,0.2,15000,597,3.5,152,2774,0,2,0,Personal Loan,Personal,8900,15.53,0.185,0.593,0.198,0
62,Employed,15.9,56531,701,18.9,5554,18514,0,0,0,Personal Loan,Personal,17900,11.49,0.328,0.317,0.106,1
18,Employed,0.0,19792,625,1.8,143,2985,0,1,0,Personal Loan,Business,15800,13.86,0.151,0.798,0.266,0
48,Self-Employed,13.2,199692,732,29.7,55296,12710,0,0,0,Personal Loan,Medical,100000,11.43,0.064,0.501,0.167,1
45,Employed,14.1,63052,630,15.7,2238,25907,0,0,0,Personal Loan,Medical,58700,14.68,0.411,0.931,0.31,1
45,Employed,18.5,89198,602,19.8,38742,15572,0,0,0,Personal Loan,Home Improvement,100000,13.1,0.175,1.121,0.374,1
18,Employed,0.0,42368,565,1.2,33,4177,0,2,0,Personal Loan,Business,60000,15.38,0.099,1.416,0.472,0
18,Self-Employed,1.0,91216,687,0.9,331,6555,0,0,0,Personal Loan,Home Improvement,100000,12.81,0.072,1.096,0.365,0
56,Employed,3.7,54489,679,15.8,265,15310,0,1,0,Personal Loan,Debt Consolidation,19100,12.67,0.281,0.351,0.117,1
43,Student,0.5,24467,688,13.5,1241,7176,0,0,0,Personal Loan,Medical,22600,11.61,0.293,0.924,0.308,1
32,Self-Employed,3.6,184001,723,13.2,4351,19741,0,0,0,Personal Loan,Education,26400,10.47,0.107,0.143,0.048,1
54,Employed,12.0,46749,682,21.1,19940,10607,0,0,2,Personal Loan,Medical,15400,11.44,0.227,0.329,0.11,1
43,Employed,17.4,54746,689,4.0,6557,7315,0,0,0,Personal Loan,Home Improvement,87300,11.28,0.134,1.595,0.532,1
35,Employed,11.9,35497,590,6.9,2972,16530,1,5,1,Personal Loan,Home Improvement,61500,16.27,0.466,1.733,0.578,0
18,Employed,0.0,19856,625,1.8,1081,2365,0,0,0,Personal Loan,Medical,5500,14.27,0.119,0.277,0.092,1
40,Student,0.9,53093,600,10.5,94,20876,0,0,1,Personal Loan,Medical,89900,14.64,0.393,1.693,0.564,0
23,Employed,5.0,18359,563,3.9,219,6285,0,1,0,Personal Loan,Personal,21800,15.68,0.342,1.187,0.396,0
21,Employed,1.1,50555,680,0.2,201,5541,0,0,0,Personal Loan,Home Improvement,93500,12.15,0.11,1.849,0.616,0
18,Employed,0.0,19238,612,0.8,7,813,0,1,0,Personal Loan,Education,21700,14.95,0.042,1.128,0.376,0
37,Employed,15.1,48689,657,12.2,3901,9086,0,0,0,Personal Loan,Personal,62900,12.31,0.187,1.292,0.431,1
36,Employed,11.6,15000,579,10.9,8545,4531,1,0,1,Personal Loan,Debt Consolidation,6600,16.61,0.302,0.44,0.147,0
34,Employed,2.2,46448,603,0.8,117,11956,0,0,0,Personal Loan,Education,87000,14.54,0.257,1.873,0.624,1
20,Employed,0.3,65913,631,0.3,874,21206,0,0,0,Personal Loan,Education,70200,14.82,0.322,1.065,0.355,0
52,Self-Employed,3.2,45778,609,4.5,208,19743,1,2,0,Personal Loan,Business,19300,13.19,0.431,0.422,0.141,0
18,Employed,0.0,30545,656,0.6,192,7153,0,0,0,Personal Loan,Medical,47600,11.37,0.234,1.558,0.519,0
22,Employed,3.5,85473,675,3.7,5420,31780,0,0,0,Personal Loan,Education,88200,12.52,0.372,1.032,0.344,1
23,Employed,2.0,22211,547,2.9,40,10962,0,0,0,Personal Loan,Personal,38800,15.24,0.494,1.747,0.582,0
49,Student,1.8,40443,679,25.2,895,5354,0,0,0,Personal Loan,Personal,19500,12.48,0.132,0.482,0.161,1
37,Employed,16.6,45678,659,16.7,401,14751,0,0,0,Personal Loan,Business,25500,12.74,0.323,0.558,0.186,1
47,Self-Employed,19.2,42419,649,17.7,2272,595,0,1,0,Personal Loan,Home Improvement,5100,14.26,0.014,0.12,0.04,1
48,Self-Employed,24.2,71941,683,9.2,361,25240,0,0,0,Personal Loan,Home Improvement,100000,12.22,0.351,1.39,0.463,1
25,Employed,5.9,43471,613,2.6,513,14877,0,0,0,Personal Loan,Business,60900,13.14,0.342,1.401,0.467,0
35,Employed,15.9,52062,644,2.5,5,12146,0,0,0,Personal Loan,Education,85900,14.67,0.233,1.65,0.55,1
25,Self-Employed,1.7,38172,642,0.9,275,18819,0,1,0,Personal Loan,Education,65500,14.82,0.493,1.716,0.572,0
34,Student,1.8,36613,613,11.1,1478,18573,0,0,0,Personal Loan,Medical,39400,13.79,0.507,1.076,0.359,0
58,Self-Employed,2.2,18803,653,21.4,3857,1197,0,0,0,Personal Loan,Debt Consolidation,32800,11.1,0.064,1.744,0.581,0
40,Student,0.6,20372,619,0.1,1,9005,0,0,0,Personal Loan,Personal,22800,13.86,0.442,1.119,0.373,0
41,Employed,13.7,66929,664,12.2,61,10838,0,0,0,Personal Loan,Education,90500,11.68,0.162,1.352,0.451,1
37,Self-Employed,10.3,38199,731,12.6,1666,23897,0,2,0,Personal Loan,Education,34900,9.71,0.626,0.914,0.305,0
33,Employed,14.9,29664,752,13.6,568,3539,0,0,0,Personal Loan,Education,22100,8.16,0.119,0.745,0.248,1
18,Self-Employed,1.0,43883,458,0.8,286,22751,0,0,0,Personal Loan,Business,80100,16.33,0.518,1.825,0.608,0
36,Employed,12.8,39666,693,4.7,125,17283,0,1,0,Personal Loan,Personal,8000,12.92,0.436,0.202,0.067,1
28,Employed,5.7,46436,527,6.3,1122,21335,0,0,1,Personal Loan,Medical,20300,15.81,0.459,0.437,0.146,0
33,Self-Employed,4.1,54144,693,9.7,78,3731,0,0,0,Personal Loan,Personal,93700,12.22,0.069,1.731,0.577,1
27,Employed,0.6,55931,623,7.7,276,9724,0,0,0,Personal Loan,Home Improvement,4300,13.38,0.174,0.077,0.026,1
47,Employed,15.0,116399,637,15.8,849,21704,0,1,0,Personal Loan,Business,100000,13.6,0.186,0.859,0.286,1
38,Employed,11.3,15133,671,12.8,63,1995,0,0,0,Personal Loan,Home Improvement,7800,11.54,0.132,0.515,0.172,1
62,Employed,25.8,112894,624,18.6,2935,90315,0,1,0,Personal Loan,Education,100000,13.9,0.8,0.886,0.295,0
19,Employed,0.5,39778,610,0.5,26,7052,0,0,0,Personal Loan,Medical,1400,14.13,0.177,0.035,0.012,1
36,Employed,17.3,49275,660,13.8,1367,5483,0,2,0,Personal Loan,Personal,44100,12.28,0.111,0.895,0.298,1
21,Employed,2.4,27468,648,1.9,228,13285,0,2,0,Personal Loan,Home Improvement,1000,13.35,0.484,0.036,0.012,0
25,Employed,4.6,57653,721,4.2,173,27361,0,0,0,Personal Loan,Education,100000,10.52,0.475,1.735,0.578,0
48,Employed,12.6,35099,635,13.2,47,14909,0,0,0,Personal Loan,Personal,59900,14.58,0.425,1.707,0.569,0
35,Employed,15.8,44960,569,8.0,1141,10639,0,1,2,Personal Loan,Debt Consolidation,77600,15.28,0.237,1.726,0.575,0
29,Employed,8.3,60545,672,0.6,356,25458,0,0,0,Personal Loan,Personal,24200,12.94,0.42,0.4,0.133,1
32,Employed,6.3,108170,663,13.1,524,23177,0,0,0,Personal Loan,Personal,100000,11.61,0.214,0.924,0.308,1
30,Student,0.7,45717,527,2.8,40,17412,0,0,1,Personal Loan,Home Improvement,57800,16.67,0.381,1.264,0.421,0
28,Employed,9.0,42537,543,2.7,115,16416,0,0,0,Personal Loan,Education,77800,16.06,0.386,1.829,0.61,0
53,Employed,2.0,92218,660,26.5,2027,15104,0,0,0,Personal Loan,Debt Consolidation,100000,12.19,0.164,1.084,0.361,1
42,Employed,13.3,26465,640,18.9,11263,12774,0,0,0,Personal Loan,Home Improvement,17600,14.19,0.483,0.665,0.222,0
23,Self-Employed,1.0,221815,636,1.6,3794,77023,0,2,1,Personal Loan,Home Improvement,78600,14.17,0.347,0.354,0.118,0
18,Employed,0.0,31606,660,1.7,148,9586,0,0,0,Personal Loan,Medical,8000,12.81,0.303,0.253,0.084,1
31,Self-Employed,8.7,166292,607,0.2,174,20493,0,1,0,Personal Loan,Education,94900,14.16,0.123,0.571,0.19,1
44,Employed,1.1,52885,628,24.5,45571,16024,0,2,0,Personal Loan,Personal,6400,14.11,0.303,0.121,0.04,1
30,Self-Employed,5.1,88132,597,5.5,286,12428,0,4,1,Personal Loan,Personal,84900,15.82,0.141,0.963,0.321,0
49,Employed,18.6,39030,687,23.5,5637,9763,0,0,0,Personal Loan,Education,67400,12.14,0.25,1.727,0.576,1
27,Self-Employed,1.1,28972,557,5.7,304,10957,0,1,0,Personal Loan,Medical,52300,16.98,0.378,1.805,0.602,0
35,Self-Employed,12.6,51040,743,15.9,5583,7512,0,1,0,Personal Loan,Medical,91900,9.96,0.147,1.801,0.6,1
35,Employed,6.9,33243,639,5.2,706,9199,0,3,0,Personal Loan,Business,53600,14.8,0.277,1.612,0.537,0
38,Employed,13.4,82432,709,14.4,1731,20571,1,1,0,Personal Loan,Home Improvement,10200,10.7,0.25,0.124,0.041,0
24,Employed,4.8,63754,727,2.1,419,16242,0,0,0,Personal Loan,Education,82200,10.54,0.255,1.289,0.43,1
55,Employed,5.3,32662,707,23.8,1078,1835,0,0,0,Personal Loan,Personal,6400,10.53,0.056,0.196,0.065,1
18,Employed,0.0,19205,559,0.8,216,7178,0,2,0,Personal Loan,Medical,15800,15.64,0.374,0.823,0.274,0
40,Employed,10.4,80934,606,2.8,1951,39588,0,0,0,Personal Loan,Business,100000,13.03,0.489,1.236,0.412,0
25,Employed,3.6,15000,629,2.7,70,2832,0,1,0,Personal Loan,Personal,18100,13.02,0.189,1.207,0.402,0
18,Employed,0.0,30973,583,1.7,28,8491,0,1,0,Personal Loan,Medical,6800,16.65,0.274,0.22,0.073,0
23,Employed,2.0,26519,590,1.6,12,5073,0,0,0,Personal Loan,Personal,28300,16.57,0.191,1.067,0.356,0
54,Self-Employed,26.9,82355,715,29.5,3977,24294,0,0,0,Personal Loan,Business,100000,9.87,0.295,1.214,0.405,1
20,Self-Employed,1.0,38026,534,1.7,63,8562,0,0,0,Personal Loan,Home Improvement,2600,16.97,0.225,0.068,0.023,0
32,Employed,9.8,46032,575,2.6,381,8419,0,0,0,Personal Loan,Business,84400,15.98,0.183,1.834,0.611,0
22,Employed,3.2,38551,623,1.3,238,4117,0,0,0,Personal Loan,Home Improvement,42000,13.83,0.107,1.089,0.363,0
33,Employed,14.3,36439,556,5.7,5747,12528,0,1,0,Personal Loan,Business,35600,15.55,0.344,0.977,0.326,0
60,Self-Employed,22.2,71355,765,0.9,311,16511,0,0,0,Personal Loan,Education,100000,8.16,0.231,1.401,0.467,1
43,Employed,2.6,57416,726,16.9,2348,22575,0,0,0,Personal Loan,Personal,13000,10.38,0.393,0.226,0.075,1
25,Employed,4.8,15000,672,0.3,11,3466,0,1,0,Personal Loan,Personal,14300,12.86,0.231,0.953,0.318,1
34,Employed,6.8,35922,576,6.8,828,2897,0,2,1,Personal Loan,Personal,40600,15.78,0.081,1.13,0.377,0
33,Student,0.3,29427,623,11.7,2168,8438,0,0,0,Personal Loan,Business,30600,14.51,0.287,1.04,0.347,0
22,Employed,0.8,29373,597,1.8,65,8067,0,1,0,Personal Loan,Debt Consolidation,43900,15.39,0.275,1.495,0.498,0
38,Employed,12.2,38222,628,10.5,1915,22971,0,5,0,Personal Loan,Home Improvement,13100,14.43,0.601,0.343,0.114,0
34,Self-Employed,2.8,26262,532,6.1,228,6060,0,2,0,Personal Loan,Education,19000,16.87,0.231,0.723,0.241,0
42,Self-Employed,1.6,62471,633,15.7,6548,14513,0,0,0,Personal Loan,Personal,87200,13.64,0.232,1.396,0.465,0
36,Employed,7.4,76942,604,16.8,5004,24940,0,1,1,Personal Loan,Business,100000,14.17,0.324,1.3,0.433,0
18,Employed,0.0,19750,547,0.5,44,8483,0,1,2,Personal Loan,Medical,14500,16.04,0.43,0.734,0.245,0
37,Employed,2.1,63056,619,13.6,790,21806,0,1,0,Personal Loan,Business,69800,13.81,0.346,1.107,0.369,0
47,Employed,15.0,74838,512,15.1,5049,38756,1,1,0,Personal Loan,Home Improvement,30200,16.86,0.518,0.404,0.135,0
25,Employed,2.8,15596,519,1.1,20,8323,1,0,0,Personal Loan,Education,25100,15.72,0.534,1.609,0.536,0
60,Employed,17.2,52423,726,28.8,622,5463,0,0,0,Personal Loan,Personal,24300,9.96,0.104,0.464,0.155,1
62,Employed,37.7,73361,705,23.7,20524,10150,0,1,0,Personal Loan,Personal,75000,9.85,0.138,1.022,0.341,1
50,Employed,0.9,58625,670,28.6,4613,30035,0,0,2,Personal Loan,Medical,100000,12.42,0.512,1.706,0.569,0
23,Employed,2.7,35673,589,1.7,911,19784,0,1,0,Personal Loan,Debt Consolidation,23500,15.47,0.555,0.659,0.22,0
39,Employed,19.9,59123,656,10.9,5825,14257,0,0,0,Personal Loan,Education,49300,11.05,0.241,0.834,0.278,1
32,Employed,1.3,38134,685,5.9,2735,21209,0,0,0,Personal Loan,Personal,67300,12.38,0.556,1.765,0.588,0
43,Employed,7.5,52858,588,22.9,9547,19807,0,0,0,Personal Loan,Business,51000,16.04,0.375,0.965,0.322,0
18,Employed,0.0,28094,570,1.4,96,4104,0,1,0,Personal Loan,Personal,49100,16.5,0.146,1.748,0.583,0
39,Self-Employed,12.5,44479,608,15.8,187,16625,0,0,0,Personal Loan,Business,8600,13.04,0.374,0.193,0.064,1
35,Employed,7.8,109867,727,1.4,116,24795,0,0,0,Personal Loan,Debt Consolidation,18300,9.56,0.226,0.167,0.056,1
57,Student,2.0,27390,725,14.9,642,9846,0,0,0,Personal Loan,Business,43900,10.71,0.359,1.603,0.534,1
18,Employed,0.0,18930,537,1.2,44,5594,0,1,1,Personal Loan,Personal,27000,15.57,0.296,1.426,0.475,0
27,Employed,8.2,93025,580,1.9,113,12692,0,0,1,Personal Loan,Education,14300,16.84,0.136,0.154,0.051,0
38,Self-Employed,8.2,84300,628,18.0,2757,2606,0,2,0,Personal Loan,Personal,100000,13.12,0.031,1.186,0.395,1
33,Employed,12.2,44340,630,12.9,409,35472,0,0,0,Personal Loan,Education,63200,13.46,0.8,1.425,0.475,0
40,Employed,7.1,66621,634,2.0,34,6179,0,0,0,Personal Loan,Business,84700,13.84,0.093,1.271,0.424,0
29,Employed,0.7,45371,672,0.8,53,25595,0,0,0,Personal Loan,Medical,52600,12.26,0.564,1.159,0.386,0
38,Employed,12.8,15000,608,17.5,634,7066,0,1,0,Personal Loan,Business,29700,13.72,0.471,1.98,0.66,0
29,Employed,6.5,35323,714,9.2,1501,22090,0,1,0,Personal Loan,Education,59000,10.24,0.625,1.67,0.557,0
41,Employed,0.9,60473,633,7.2,256,10241,0,0,0,Personal Loan,Medical,50600,14.3,0.169,0.837,0.279,0
39,Employed,20.6,24777,587,3.1,1859,3839,1,1,0,Personal Loan,Home Improvement,38500,16.11,0.155,1.554,0.518,0
18,Employed,0.0,19080,712,0.5,38,8161,0,0,0,Personal Loan,Business,32700,9.83,0.428,1.714,0.571,0
30,Employed,4.8,21630,519,7.2,577,5951,0,0,0,Personal Loan,Education,9000,15.23,0.275,0.416,0.139,1
26,Employed,4.9,41333,532,6.7,112,13941,0,0,0,Personal Loan,Medical,74200,15.25,0.337,1.795,0.598,0
38,Employed,14.5,36804,658,9.3,1039,12156,0,0,0,Personal Loan,Business,6600,12.71,0.33,0.179,0.06,1
49,Employed,11.2,51924,680,17.1,1211,3987,0,0,0,Personal Loan,Home Improvement,33000,11.71,0.077,0.636,0.212,1
43,Self-Employed,13.7,88602,603,6.9,17191,35628,0,1,0,Personal Loan,Education,100000,14.13,0.402,1.129,0.376,0
33,Employed,5.6,24574,711,5.0,465,5248,0,0,1,Personal Loan,Personal,15600,10.67,0.214,0.635,0.212,1
44,Employed,13.3,24780,619,16.3,1394,5293,0,0,0,Personal Loan,Debt Consolidation,2400,14.05,0.214,0.097,0.032,1
35,Employed,1.9,21410,695,15.1,12460,5929,0,0,0,Personal Loan,Home Improvement,5900,11.56,0.277,0.276,0.092,1
35,Employed,9.7,47851,593,0.1,5,13476,1,0,1,Personal Loan,Business,89200,16.77,0.282,1.864,0.621,0
